"n","sigma","Lasso","aLasso","BaLasso_Freq","BaLasso_Median","BaLasso_Mean","BaLasso_EB"
30,1,14,49,97,91,97,34
30,3,4,17,20,39,20,5
60,1,11,67,100,87,100,23
60,3,7,32,65,50,65,4
120,1,15,84,100,81,100,22
120,3,9,51,93,52,93,10
