"Covariate","BaLasso_EB_lambda","BaLasso_Median_lambda","BaLasso_Mean_lambda","BaLasso_EB_beta","BaLasso_Median_beta","BaLasso_Mean_beta","Lasso_beta","aLasso_beta"
"lcavol",1.11764470098622,0.966407279542826,1.3469788892111,0.533046944744093,0.535504095772056,0.686546238248004,0.49520157154789,0.512799644261684
"lweight",2.87837835316851,3.21550058786625,30.8166379199912,0.566219567082847,0.623150365443795,0.263058966497333,0.493305464658184,0.624635434097063
"age",15.3438603891051,85.8002950109101,216.651884230364,-0.000222515613531312,0,0,-0.000442405680569923,0
"lbph",9.50476845458982,61.6237167860778,204.51447241622,0.0394176185006435,0,0,0.0366696531246599,0
"svi",2.75994781954546,3.50713042550089,39.8547397072996,0.647599763256476,0.612947222256847,0,0.555688622781033,0.649727164553632
"lcp",47.5118794445573,103.528791859724,235.94761863047,0,0,0,0,0
"gleason",19.0264842720187,114.72836482334,245.533141275198,0,0,0,0,0
"pgg45",22.446559417629,98.3653053101364,234.928302719812,0,0,0,0.00143570699954729,0
